Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2023-11-03,苹果健康,13322.0,414.2,9282.0,0.0
2023-11-04,苹果健康,5058.0,122.6,3336.0,0.0
2023-11-05,苹果健康,10238.0,315.7,6977.0,0.0
2023-11-06,苹果健康,5910.0,200.2,4129.0,0.0
2023-11-07,苹果健康,5133.0,141.8,3468.0,0.0
2023-11-08,苹果健康,1323.0,32.2,844.0,0.0
2023-11-09,苹果健康,10946.0,299.8,7500.0,0.0
2023-11-10,苹果健康,2063.0,51.4,1310.0,0.0
2023-11-11,苹果健康,5466.0,157.4,3906.0,0.0
2023-11-12,苹果健康,21647.0,477.7,12569.0,0.0
2023-11-13,苹果健康,1389.0,34.2,878.0,0.0
2023-11-14,苹果健康,1488.0,35.8,968.0,0.0
2023-11-15,苹果健康,2251.0,58.1,1507.0,0.0
2023-11-16,苹果健康,1342.0,37.3,898.0,0.0
2023-11-17,苹果健康,6871.0,168.4,4457.0,0.0
2023-11-18,苹果健康,12322.0,278.6,7071.0,0.0
2023-11-19,苹果健康,11713.0,381.9,7118.0,0.0
2023-11-20,苹果健康,14867.0,509.4,10813.0,0.0
2023-11-21,苹果健康,16622.0,579.6,12233.0,0.0
2023-11-22,苹果健康,8174.0,183.1,5284.0,0.0
2023-11-23,苹果健康,5299.0,141.0,3454.0,0.0
2023-11-24,苹果健康,17552.0,551.2,12963.0,0.0
2023-11-25,苹果健康,4470.0,90.6,2778.0,0.0
2023-11-26,苹果健康,9209.0,211.4,5945.0,0.0
2023-11-27,苹果健康,6123.0,132.1,3851.0,0.0
2023-11-28,苹果健康,13139.0,439.5,9555.0,0.0
2023-11-29,苹果健康,10727.0,368.4,7874.0,0.0
2023-11-30,苹果健康,18857.0,823.2,13956.0,0.0
2023-12-01,苹果健康,20871.0,779.2,15248.0,0.0
2023-12-02,苹果健康,34639.0,998.1,23102.0,0.0
2023-12-03,苹果健康,39786.0,1315.1,28984.0,0.0
2023-12-04,苹果健康,9143.0,260.7,6213.0,0.0
2023-12-05,苹果健康,26211.0,1000.1,19849.0,0.0
2023-12-06,苹果健康,16328.0,596.1,11968.0,0.0
2023-12-07,苹果健康,16606.0,556.1,12001.0,0.0
2023-12-08,苹果健康,13469.0,473.4,9815.0,0.0
2023-12-09,苹果健康,19818.0,521.2,13109.0,0.0
2023-12-10,苹果健康,6201.0,147.8,4018.0,0.0
2023-12-11,苹果健康,9686.0,287.0,6764.0,0.0
2023-12-12,苹果健康,17637.0,579.8,12826.0,0.0
2023-12-13,苹果健康,12249.0,397.3,8738.0,0.0
2023-12-14,苹果健康,9261.0,251.4,6247.0,0.0
2023-12-15,苹果健康,8658.0,225.3,5318.0,0.0
2023-12-16,苹果健康,15190.0,328.8,8680.0,0.0
2023-12-17,苹果健康,12414.0,270.4,7071.0,0.0
2023-12-18,苹果健康,8371.0,270.5,6010.0,0.0
2023-12-19,苹果健康,9072.0,287.9,6597.0,0.0
2023-12-20,苹果健康,10247.0,308.9,7337.0,0.0
2023-12-21,苹果健康,9094.0,254.6,6215.0,0.0
2023-12-22,苹果健康,2753.0,66.9,1787.0,0.0
2023-12-23,苹果健康,18630.0,416.5,10845.0,0.0
2023-12-24,苹果健康,31061.0,710.6,18600.0,0.0
2023-12-25,苹果健康,5109.0,107.8,3299.0,0.0
2023-12-26,苹果健康,2294.0,52.5,1441.0,0.0
2023-12-27,苹果健康,9955.0,286.8,6533.0,0.0
2023-12-28,苹果健康,1886.0,41.5,1224.0,0.0
2023-12-29,苹果健康,7862.0,203.3,5288.0,0.0
2023-12-30,苹果健康,13351.0,295.9,8516.0,0.0
2023-12-31,苹果健康,5626.0,112.1,3537.0,0.0
2024-01-01,苹果健康,4071.0,94.7,2717.0,0.0
2024-01-02,苹果健康,2334.0,53.7,1536.0,0.0
2024-01-03,苹果健康,1917.0,45.1,1279.0,0.0
2024-01-04,苹果健康,5010.0,120.6,3305.0,0.0
2024-01-05,苹果健康,1126.0,22.3,687.0,0.0
2024-01-06,苹果健康,12670.0,285.3,7618.0,0.0
2024-01-07,苹果健康,11167.0,232.3,6999.0,0.0
2024-01-08,苹果健康,2205.0,42.8,1339.0,0.0
2024-01-09,苹果健康,1579.0,28.1,915.0,0.0
2024-01-10,苹果健康,1546.0,34.6,1003.0,0.0
2024-01-11,苹果健康,7054.0,246.1,5261.0,0.0
2024-01-12,苹果健康,1209.0,25.2,757.0,0.0
2024-01-13,苹果健康,16283.0,386.7,10385.0,0.0
2024-01-14,苹果健康,9151.0,184.2,5568.0,0.0
2024-01-15,苹果健康,1821.0,39.5,1139.0,0.0
2024-01-16,苹果健康,2516.0,48.4,1494.0,0.0
2024-01-17,苹果健康,1664.0,33.7,997.0,0.0
2024-01-18,苹果健康,1549.0,28.6,929.0,0.0
2024-01-19,苹果健康,3662.0,70.7,2172.0,0.0
2024-01-20,苹果健康,13706.0,294.0,8322.0,0.0
2024-01-21,苹果健康,4963.0,95.0,2945.0,0.0
2024-01-22,苹果健康,1370.0,27.4,861.0,0.0
2024-01-23,苹果健康,2358.0,61.7,1509.0,0.0
2024-01-24,苹果健康,1723.0,33.7,1022.0,0.0
2024-01-25,苹果健康,4157.0,98.7,2710.0,0.0
2024-01-26,苹果健康,2466.0,47.1,1473.0,0.0
2024-01-27,苹果健康,7704.0,158.5,4717.0,0.0
2024-01-28,苹果健康,11256.0,235.6,6814.0,0.0
2024-01-29,苹果健康,2032.0,42.9,1301.0,0.0
2024-01-30,苹果健康,1834.0,38.0,1157.0,0.0
2024-01-31,苹果健康,1578.0,31.9,980.0,0.0
2024-02-01,苹果健康,2398.0,51.5,1534.0,0.0
2024-02-02,苹果健康,5244.0,102.8,2971.0,0.0
2024-02-03,苹果健康,11460.0,246.6,6913.0,0.0
2024-02-04,苹果健康,9080.0,257.9,6054.0,0.0
2024-02-05,苹果健康,7376.0,211.5,4709.0,0.0
2024-02-06,苹果健康,9748.0,288.0,6443.0,0.0
2024-02-07,苹果健康,5764.0,108.9,3395.0,0.0
2024-02-08,苹果健康,5843.0,123.6,3688.0,0.0
2024-02-09,苹果健康,9860.0,231.0,5996.0,0.0
2024-02-10,苹果健康,8856.0,165.2,5207.0,0.0
2024-02-11,苹果健康,8002.0,147.1,4399.0,0.0
2024-02-12,苹果健康,4905.0,89.5,2963.0,0.0
2024-02-13,苹果健康,3296.0,72.4,2023.0,0.0
2024-02-14,苹果健康,11589.0,279.8,7231.0,0.0
2024-02-15,苹果健康,1840.0,44.1,1136.0,0.0
2024-02-16,苹果健康,2327.0,38.8,1369.0,0.0
2024-02-17,苹果健康,8150.0,164.9,4989.0,0.0
2024-02-18,苹果健康,7217.0,169.7,4587.0,0.0
2024-02-19,苹果健康,2743.0,85.5,1802.0,0.0
2024-02-20,苹果健康,2004.0,46.5,1283.0,0.0
2024-02-21,苹果健康,4592.0,179.4,3488.0,0.0
2024-02-22,苹果健康,6913.0,312.9,5362.0,0.0
2024-02-23,苹果健康,12051.0,385.2,8020.0,0.0
2024-02-24,苹果健康,6979.0,200.3,4722.0,0.0
2024-02-25,苹果健康,3085.0,61.7,1842.0,0.0
2024-02-26,苹果健康,2187.0,45.8,1398.0,0.0
